arm,tick,phase,err_ema,C,energy,approach,syncopes
full,8490,4,0.04001,-0.06303,0.94685,0.23245,1.80000
full,8500,4,0.04001,-0.06195,0.94685,0.23245,1.80000
full,8510,4,0.04001,-0.06195,0.94685,0.23245,1.80000
full,8520,4,0.04001,-0.06028,0.94685,0.23245,1.80000
full,8530,4,0.04001,-0.06028,0.94685,0.23245,1.80000
full,8540,4,0.04001,-0.05964,0.94685,0.23245,1.80000
full,8550,4,0.04001,-0.05963,0.94685,0.23245,1.80000
full,8560,4,0.04001,-0.05963,0.94685,0.23245,1.80000
full,8570,4,0.04001,-0.06052,0.94685,0.23245,1.80000
full,8580,4,0.04001,-0.06052,0.94685,0.23245,1.80000
full,8590,4,0.04001,-0.06096,0.94685,0.23245,1.80000
full,8600,4,0.04001,-0.06037,0.94685,0.23245,1.80000
full,8610,4,0.04001,-0.06037,0.94685,0.23245,1.80000
full,8620,4,0.04001,-0.06180,0.94685,0.23245,1.80000
full,8630,4,0.04001,-0.06180,0.94685,0.23245,1.80000
full,8640,4,0.04001,-0.06227,0.94685,0.23245,1.80000
full,8650,4,0.04001,-0.06371,0.94685,0.23245,1.80000
full,8660,4,0.04001,-0.06371,0.94685,0.23245,1.80000
full,8670,4,0.04001,-0.06369,0.94685,0.23245,1.80000
full,8680,4,0.04001,-0.06369,0.94685,0.23245,1.80000
full,8690,4,0.04001,-0.06310,0.94685,0.23245,1.80000
full,8700,4,0.04001,-0.06261,0.94685,0.23245,1.80000
full,8710,4,0.04001,-0.06261,0.94685,0.23245,1.80000
full,8720,4,0.04001,-0.06169,0.94685,0.23245,1.80000
full,8730,4,0.04001,-0.06169,0.94685,0.23245,1.80000
full,8740,4,0.04001,-0.06388,0.94685,0.23245,1.80000
full,8750,4,0.04001,-0.06383,0.94685,0.23245,1.80000
full,8760,4,0.04001,-0.06383,0.94685,0.23245,1.80000
full,8770,4,0.04001,-0.06289,0.94685,0.23245,1.80000
full,8780,4,0.04001,-0.06289,0.94685,0.23245,1.80000
full,8790,4,0.04001,-0.06256,0.94685,0.23245,1.80000
full,8800,4,0.04001,-0.06308,0.94685,0.23245,1.80000
full,8810,4,0.04001,-0.06308,0.94685,0.23245,1.80000
full,8820,4,0.04001,-0.06370,0.94685,0.23245,1.80000
full,8830,4,0.04001,-0.06370,0.94685,0.23245,1.80000
full,8840,4,0.04001,-0.06212,0.94685,0.23245,1.80000
full,8850,4,0.04001,-0.06270,0.94685,0.23245,1.80000
full,8860,4,0.04001,-0.06270,0.94685,0.23245,1.80000
full,8870,4,0.04001,-0.06235,0.94685,0.23245,1.80000
full,8880,4,0.04001,-0.06235,0.94685,0.23245,1.80000
full,8890,4,0.04001,-0.06345,0.94685,0.23245,1.80000
full,8900,4,0.04001,-0.06362,0.94685,0.23245,1.80000
full,8910,4,0.04001,-0.06362,0.94685,0.23245,1.80000
full,8920,4,0.04001,-0.06310,0.94685,0.23245,1.80000
full,8930,4,0.04001,-0.06310,0.94685,0.23245,1.80000
full,8940,4,0.04001,-0.06282,0.94685,0.23245,1.80000
full,8950,4,0.04001,-0.06255,0.94685,0.23245,1.80000
full,8960,4,0.04001,-0.06255,0.94685,0.23245,1.80000
full,8970,4,0.04001,-0.06177,0.94685,0.23245,1.80000
full,8980,4,0.04001,-0.06177,0.94685,0.23245,1.80000
full,8990,4,0.04001,-0.06231,0.94685,0.23245,1.80000
full,9000,5,0.04030,-0.06261,0.94685,0.23246,1.80000
full,9010,5,0.04147,-0.06261,0.94685,0.23251,1.80000
full,9020,5,0.04193,-0.06261,0.94685,0.23259,1.80000
full,9030,5,0.04235,-0.06261,0.95495,0.23262,1.80000
full,9040,5,0.04193,-0.06533,0.95495,0.23264,1.80000
full,9050,5,0.04181,-0.06533,0.95495,0.23257,1.80000
full,9060,5,0.04205,-0.06533,0.95495,0.23250,1.80000
full,9070,5,0.04240,-0.06533,0.95495,0.23246,1.80000
full,9080,5,0.04235,-0.06857,0.95414,0.23247,1.80000
full,9090,5,0.04229,-0.06857,0.95414,0.23250,1.80000
full,9100,5,0.04244,-0.06857,0.95414,0.23255,1.80000
full,9110,5,0.04251,-0.06857,0.95414,0.23262,1.80000
full,9120,5,0.04214,-0.07197,0.95414,0.23269,1.80000
full,9130,5,0.04206,-0.07197,0.95414,0.23276,1.80000
full,9140,5,0.04165,-0.07197,0.95414,0.23282,1.80000
full,9150,5,0.04169,-0.07197,0.95414,0.23282,1.80000
full,9160,5,0.04182,-0.07206,0.95414,0.23265,1.80000
full,9170,5,0.04149,-0.07206,0.95414,0.23253,1.80000
full,9180,5,0.04137,-0.07206,0.95414,0.23246,1.80000
full,9190,5,0.04156,-0.07206,0.95414,0.23244,1.80000
full,9200,5,0.04188,-0.07287,0.95324,0.23246,1.80000
full,9210,5,0.04160,-0.07287,0.95324,0.23251,1.80000
full,9220,5,0.04151,-0.07287,0.95324,0.23259,1.80000
full,9230,5,0.04160,-0.07287,0.96134,0.23262,1.80000
full,9240,5,0.04188,-0.07291,0.96134,0.23264,1.80000
full,9250,5,0.04203,-0.07291,0.96134,0.23257,1.80000
full,9260,5,0.04204,-0.07291,0.96134,0.23250,1.80000
full,9270,5,0.04183,-0.07291,0.96134,0.23246,1.80000
full,9280,5,0.04156,-0.07296,0.96053,0.23247,1.80000
full,9290,5,0.04167,-0.07296,0.96053,0.23250,1.80000
full,9300,5,0.04182,-0.07296,0.96053,0.23255,1.80000
full,9310,5,0.04178,-0.07296,0.96053,0.23262,1.80000
full,9320,5,0.04145,-0.07336,0.96053,0.23269,1.80000
full,9330,5,0.04141,-0.07336,0.96053,0.23276,1.80000
full,9340,5,0.04191,-0.07336,0.96053,0.23282,1.80000
full,9350,5,0.04256,-0.07336,0.96053,0.23282,1.80000
full,9360,5,0.04237,-0.07357,0.96053,0.23265,1.80000
full,9370,5,0.04181,-0.07357,0.96053,0.23253,1.80000
full,9380,5,0.04154,-0.07357,0.96053,0.23246,1.80000
full,9390,5,0.04160,-0.07357,0.96053,0.23244,1.80000
full,9400,5,0.04167,-0.07389,0.95963,0.23246,1.80000
full,9410,5,0.04185,-0.07389,0.95963,0.23251,1.80000
full,9420,5,0.04157,-0.07389,0.95963,0.23259,1.80000
full,9430,5,0.04108,-0.07389,0.96774,0.23262,1.80000
full,9440,5,0.04107,-0.07478,0.96774,0.23264,1.80000
full,9450,5,0.04102,-0.07478,0.96774,0.23257,1.80000
full,9460,5,0.04079,-0.07478,0.96774,0.23250,1.80000
full,9470,5,0.04051,-0.07478,0.96774,0.23246,1.80000
full,9480,5,0.04026,-0.07599,0.96692,0.23247,1.80000
full,9490,5,0.04033,-0.07599,0.96692,0.23250,1.80000
full,9500,5,0.04024,-0.07599,0.96692,0.23255,1.80000
full,9510,5,0.04030,-0.07599,0.96692,0.23262,1.80000
full,9520,5,0.04031,-0.07587,0.96692,0.23269,1.80000
full,9530,5,0.04023,-0.07587,0.96692,0.23276,1.80000
full,9540,5,0.04056,-0.07587,0.96692,0.23282,1.80000
full,9550,5,0.04040,-0.07587,0.96692,0.23282,1.80000
full,9560,5,0.04058,-0.07539,0.96692,0.23265,1.80000
full,9570,5,0.04055,-0.07539,0.96692,0.23253,1.80000
full,9580,5,0.04032,-0.07539,0.96692,0.23246,1.80000
full,9590,5,0.04072,-0.07539,0.96692,0.23244,1.80000
full,9600,5,0.04048,-0.07598,0.96602,0.23246,1.80000
full,9610,5,0.04045,-0.07598,0.96602,0.23251,1.80000
full,9620,5,0.04041,-0.07598,0.96602,0.23259,1.80000
full,9630,5,0.04067,-0.07598,0.97413,0.23262,1.80000
full,9640,5,0.04106,-0.07509,0.97413,0.23264,1.80000
full,9650,5,0.04130,-0.07509,0.97413,0.23257,1.80000
full,9660,5,0.04068,-0.07509,0.97413,0.23250,1.80000
full,9670,5,0.04054,-0.07509,0.97413,0.23246,1.80000
full,9680,5,0.04048,-0.07430,0.97331,0.23247,1.80000
full,9690,5,0.04055,-0.07430,0.97331,0.23250,1.80000
full,9700,5,0.04040,-0.07430,0.97331,0.23255,1.80000
full,9710,5,0.04045,-0.07430,0.97331,0.23262,1.80000
full,9720,5,0.04026,-0.07323,0.97331,0.23269,1.80000
full,9730,5,0.03978,-0.07323,0.97331,0.23276,1.80000
full,9740,5,0.04010,-0.07323,0.97331,0.23282,1.80000
full,9750,5,0.04003,-0.07323,0.97331,0.23282,1.80000
full,9760,5,0.04035,-0.07406,0.97331,0.23265,1.80000
full,9770,5,0.04027,-0.07406,0.97331,0.23253,1.80000
full,9780,5,0.04021,-0.07406,0.97331,0.23246,1.80000
full,9790,5,0.03985,-0.07406,0.97331,0.23244,1.80000
full,9800,5,0.03969,-0.07473,0.97241,0.23246,1.80000
full,9810,5,0.03951,-0.07473,0.97241,0.23251,1.80000
full,9820,5,0.03968,-0.07473,0.97241,0.23259,1.80000
full,9830,5,0.03945,-0.07473,0.97432,0.23262,1.80000
full,9840,5,0.03897,-0.07400,0.97432,0.23264,1.80000
full,9850,5,0.03909,-0.07400,0.97432,0.23257,1.80000
full,9860,5,0.03930,-0.07400,0.97432,0.23250,1.80000
full,9870,5,0.03978,-0.07400,0.97432,0.23246,1.80000
full,9880,5,0.03977,-0.07391,0.97350,0.23247,1.80000
full,9890,5,0.03922,-0.07391,0.97350,0.23250,1.80000
full,9900,5,0.03912,-0.07391,0.97350,0.23255,1.80000
full,9910,5,0.03908,-0.07391,0.97350,0.23262,1.80000
full,9920,5,0.03861,-0.07400,0.97350,0.23269,1.80000
full,9930,5,0.03825,-0.07400,0.97350,0.23276,1.80000
full,9940,5,0.03810,-0.07400,0.97350,0.23282,1.80000
full,9950,5,0.03799,-0.07400,0.97350,0.23282,1.80000
full,9960,5,0.03833,-0.07297,0.97350,0.23265,1.80000
full,9970,5,0.03827,-0.07297,0.97350,0.23253,1.80000
full,9980,5,0.03815,-0.07297,0.97350,0.23246,1.80000
full,9990,5,0.03865,-0.07297,0.97350,0.23244,1.80000
full,10000,5,0.03902,-0.07227,0.97260,0.23246,1.80000
full,10010,5,0.03925,-0.07227,0.97260,0.23251,1.80000
full,10020,5,0.03934,-0.07227,0.97260,0.23259,1.80000
full,10030,5,0.03939,-0.07227,0.97260,0.23262,1.80000
full,10040,5,0.03905,-0.07245,0.97260,0.23264,1.80000
full,10050,5,0.03903,-0.07245,0.97260,0.23257,1.80000
full,10060,5,0.03897,-0.07245,0.97260,0.23250,1.80000
full,10070,5,0.03883,-0.07245,0.97260,0.23246,1.80000
full,10080,5,0.03839,-0.07144,0.97179,0.23247,1.80000
full,10090,5,0.03846,-0.07144,0.97179,0.23250,1.80000
full,10100,5,0.03873,-0.07144,0.97179,0.23255,1.80000
full,10110,5,0.03872,-0.07144,0.97179,0.23262,1.80000
full,10120,5,0.03905,-0.07271,0.97179,0.23269,1.80000
full,10130,5,0.03900,-0.07271,0.97179,0.23276,1.80000
full,10140,5,0.03920,-0.07271,0.97179,0.23282,1.80000
full,10150,5,0.03918,-0.07271,0.97179,0.23282,1.80000
full,10160,5,0.03949,-0.07134,0.97179,0.23265,1.80000
full,10170,5,0.03979,-0.07134,0.97179,0.23253,1.80000
full,10180,5,0.03963,-0.07134,0.97179,0.23246,1.80000
full,10190,5,0.03965,-0.07134,0.97179,0.23244,1.80000
full,10200,5,0.03978,-0.07117,0.97089,0.23246,1.80000
full,10210,5,0.03983,-0.07117,0.97089,0.23251,1.80000
full,10220,5,0.04012,-0.07117,0.97089,0.23259,1.80000
full,10230,5,0.04063,-0.07117,0.97089,0.23262,1.80000
full,10240,5,0.04061,-0.07098,0.97089,0.23264,1.80000
full,10250,5,0.04063,-0.07098,0.97089,0.23257,1.80000
full,10260,5,0.04003,-0.07098,0.97089,0.23250,1.80000
full,10270,5,0.04026,-0.07098,0.97089,0.23246,1.80000
full,10280,5,0.04020,-0.07328,0.97008,0.23247,1.80000
full,10290,5,0.04034,-0.07328,0.97008,0.23250,1.80000
full,10300,5,0.04067,-0.07328,0.97008,0.23255,1.80000
full,10310,5,0.04058,-0.07328,0.97008,0.23262,1.80000
full,10320,5,0.04042,-0.07239,0.97008,0.23269,1.80000
full,10330,5,0.04023,-0.07239,0.97008,0.23276,1.80000
full,10340,5,0.03995,-0.07239,0.97008,0.23282,1.80000
full,10350,5,0.03994,-0.07239,0.97008,0.23282,1.80000
full,10360,5,0.03987,-0.07303,0.97008,0.23265,1.80000
full,10370,5,0.03985,-0.07303,0.97008,0.23253,1.80000
full,10380,5,0.03948,-0.07303,0.97008,0.23246,1.80000
full,10390,5,0.03915,-0.07303,0.97008,0.23244,1.80000
full,10400,5,0.03881,-0.07311,0.96918,0.23246,1.80000
full,10410,5,0.03872,-0.07311,0.96918,0.23251,1.80000
full,10420,5,0.03849,-0.07311,0.96918,0.23259,1.80000
full,10430,5,0.03902,-0.07311,0.96918,0.23262,1.80000
full,10440,5,0.03949,-0.07312,0.96918,0.23264,1.80000
full,10450,5,0.03981,-0.07312,0.96918,0.23257,1.80000
full,10460,5,0.03974,-0.07312,0.96918,0.23250,1.80000
full,10470,5,0.03977,-0.07312,0.96918,0.23246,1.80000
full,10480,5,0.03958,-0.07301,0.96836,0.23247,1.80000
full,10490,5,0.03905,-0.07301,0.96836,0.23250,1.80000
full,10500,5,0.03923,-0.07301,0.96836,0.23255,1.80000
full,10510,5,0.03970,-0.07301,0.96836,0.23262,1.80000
full,10520,5,0.03969,-0.07229,0.96836,0.23269,1.80000
full,10530,5,0.03980,-0.07229,0.96836,0.23276,1.80000
full,10540,5,0.03942,-0.07229,0.96836,0.23282,1.80000
full,10550,5,0.03920,-0.07229,0.96836,0.23282,1.80000
full,10560,5,0.03900,-0.07501,0.96836,0.23265,1.80000
full,10570,5,0.03906,-0.07501,0.96836,0.23253,1.80000
full,10580,5,0.03911,-0.07501,0.96836,0.23246,1.80000
full,10590,5,0.03910,-0.07501,0.96836,0.23244,1.80000
full,10600,5,0.03973,-0.07529,0.96747,0.23246,1.80000
full,10610,5,0.03973,-0.07529,0.96747,0.23251,1.80000
full,10620,5,0.04018,-0.07529,0.96747,0.23259,1.80000
full,10630,5,0.03986,-0.07529,0.96747,0.23262,1.80000
full,10640,5,0.04025,-0.07516,0.96747,0.23264,1.80000
full,10650,5,0.03981,-0.07516,0.96747,0.23257,1.80000
full,10660,5,0.04010,-0.07516,0.96747,0.23250,1.80000
full,10670,5,0.04028,-0.07516,0.96747,0.23246,1.80000
full,10680,5,0.04044,-0.07255,0.96665,0.23247,1.80000
full,10690,5,0.04023,-0.07255,0.96665,0.23250,1.80000
full,10700,5,0.04040,-0.07255,0.96665,0.23255,1.80000
full,10710,5,0.04026,-0.07255,0.96665,0.23262,1.80000
full,10720,5,0.04046,-0.07251,0.96665,0.23269,1.80000
full,10730,5,0.04030,-0.07251,0.96665,0.23276,1.80000
full,10740,5,0.04077,-0.07251,0.96665,0.23282,1.80000
full,10750,5,0.04068,-0.07251,0.96665,0.23282,1.80000
full,10760,5,0.04088,-0.07259,0.96665,0.23265,1.80000
full,10770,5,0.04077,-0.07259,0.96665,0.23253,1.80000
full,10780,5,0.04035,-0.07259,0.96665,0.23246,1.80000
full,10790,5,0.04057,-0.07259,0.96665,0.23244,1.80000
full,10800,5,0.04061,-0.07439,0.96575,0.23246,1.80000
full,10810,5,0.04105,-0.07439,0.96575,0.23251,1.80000
full,10820,5,0.04073,-0.07439,0.96575,0.23259,1.80000
full,10830,5,0.04031,-0.07439,0.96575,0.23262,1.80000
full,10840,5,0.03989,-0.07387,0.96575,0.23264,1.80000
full,10850,5,0.03975,-0.07387,0.96575,0.23257,1.80000
full,10860,5,0.03903,-0.07387,0.96575,0.23250,1.80000
full,10870,5,0.03900,-0.07387,0.96575,0.23246,1.80000
full,10880,5,0.03934,-0.07451,0.96494,0.23247,1.80000
full,10890,5,0.04005,-0.07451,0.96494,0.23250,1.80000
full,10900,5,0.04025,-0.07451,0.96494,0.23255,1.80000
full,10910,5,0.04021,-0.07451,0.96494,0.23262,1.80000
full,10920,5,0.03999,-0.07310,0.96494,0.23269,1.80000
full,10930,5,0.03961,-0.07310,0.96494,0.23276,1.80000
full,10940,5,0.03983,-0.07310,0.96494,0.23282,1.80000
full,10950,5,0.04013,-0.07310,0.96494,0.23282,1.80000
full,10960,5,0.03973,-0.07138,0.96494,0.23265,1.80000
full,10970,5,0.03941,-0.07138,0.96494,0.23253,1.80000
full,10980,5,0.03958,-0.07138,0.96494,0.23246,1.80000
full,10990,5,0.04030,-0.07138,0.96494,0.23244,1.80000
full,11000,5,0.04002,-0.07243,0.96404,0.23246,1.80000
full,11010,5,0.03984,-0.07243,0.96404,0.23251,1.80000
full,11020,5,0.03992,-0.07243,0.96404,0.23259,1.80000
full,11030,5,0.03982,-0.07243,0.96404,0.23262,1.80000
full,11040,5,0.03992,-0.07181,0.96404,0.23264,1.80000
full,11050,5,0.03989,-0.07181,0.96404,0.23257,1.80000
full,11060,5,0.04013,-0.07181,0.96404,0.23250,1.80000
full,11070,5,0.03970,-0.07181,0.96404,0.23246,1.80000
full,11080,5,0.03946,-0.07110,0.96323,0.23247,1.80000
full,11090,5,0.03961,-0.07110,0.96323,0.23250,1.80000
full,11100,5,0.03943,-0.07110,0.96323,0.23255,1.80000
full,11110,5,0.03955,-0.07110,0.96323,0.23262,1.80000
full,11120,5,0.04002,-0.07058,0.96323,0.23269,1.80000
full,11130,5,0.04027,-0.07058,0.96323,0.23276,1.80000
full,11140,5,0.04035,-0.07058,0.96323,0.23282,1.80000
full,11150,5,0.04054,-0.07058,0.96323,0.23282,1.80000
full,11160,5,0.04056,-0.06960,0.96323,0.23265,1.80000
full,11170,5,0.04092,-0.06960,0.96323,0.23253,1.80000
full,11180,5,0.04110,-0.06960,0.96323,0.23246,1.80000
full,11190,5,0.04084,-0.06960,0.96323,0.23244,1.80000
uniform,0,0,0.10204,-0.30000,0.82763,0.00126,0.00000
uniform,10,0,0.12861,-0.30000,0.87796,0.01157,0.00000
uniform,20,0,0.13813,-0.30000,0.85191,0.01952,0.00000
uniform,30,0,0.13774,-0.30000,0.83072,0.02267,0.00000
uniform,40,0,0.13461,-0.22619,0.81348,0.02382,0.00000
uniform,50,0,0.13104,-0.22619,0.79455,0.02314,0.00000
uniform,60,0,0.12812,-0.22619,0.77923,0.02372,0.00000
uniform,70,0,0.12641,-0.22619,0.76598,0.02982,0.00000
uniform,80,0,0.12527,-0.17157,0.74992,0.03213,0.00000
uniform,90,0,0.12378,-0.17157,0.73329,0.03146,0.00000
uniform,100,0,0.12182,-0.17157,0.71377,0.03225,0.00000
uniform,110,0,0.12000,-0.17157,0.81218,0.03433,0.20000
uniform,120,0,0.11963,-0.14212,0.81218,0.04180,0.20000
uniform,130,0,0.11754,-0.14212,0.81218,0.04714,0.20000
uniform,140,0,0.11637,-0.14212,0.81218,0.05065,0.20000
uniform,150,0,0.11445,-0.14212,0.81218,0.05354,0.20000
uniform,160,0,0.11209,-0.12110,0.81218,0.05506,0.20000
uniform,170,0,0.10897,-0.12110,0.81218,0.05601,0.20000
uniform,180,0,0.10653,-0.12110,0.81218,0.05684,0.20000
uniform,190,0,0.10357,-0.12110,0.81218,0.05815,0.20000
uniform,200,0,0.10086,-0.10504,0.81218,0.05905,0.20000
uniform,210,0,0.09812,-0.10504,0.79655,0.05941,0.20000
uniform,220,0,0.09476,-0.10504,0.78220,0.05960,0.20000
uniform,230,0,0.09148,-0.10504,0.76449,0.05966,0.20000
uniform,240,0,0.08836,-0.08716,0.75357,0.05951,0.20000
uniform,250,0,0.08586,-0.08716,0.72785,0.05907,0.20000
uniform,260,0,0.08336,-0.08716,0.70978,0.05915,0.20000
uniform,270,0,0.08088,-0.08716,0.77199,0.05870,0.40000
uniform,280,0,0.07912,-0.07886,0.77035,0.05877,0.40000
uniform,290,0,0.07737,-0.07886,0.77386,0.05908,0.40000
uniform,300,0,0.07576,-0.07886,0.77033,0.05909,0.40000
uniform,310,0,0.07412,-0.07886,0.76994,0.05917,0.40000
uniform,320,0,0.07272,-0.07290,0.77058,0.05926,0.40000
uniform,330,0,0.07123,-0.07290,0.76309,0.05932,0.40000
uniform,340,0,0.06978,-0.07290,0.74860,0.05903,0.40000
uniform,350,0,0.06885,-0.07290,0.72997,0.05868,0.40000
uniform,360,0,0.06769,-0.06904,0.71743,0.05846,0.40000
uniform,370,0,0.06660,-0.06904,0.70803,0.05837,0.40000
uniform,380,0,0.06568,-0.06904,0.67935,0.05825,0.40000
uniform,390,0,0.06414,-0.06904,0.65576,0.05807,0.40000
uniform,400,0,0.06244,-0.06160,0.63750,0.05800,0.40000
uniform,410,0,0.06134,-0.06160,0.61779,0.05800,0.40000
uniform,420,0,0.05986,-0.06160,0.59750,0.05799,0.40000
uniform,430,0,0.05865,-0.06160,0.57518,0.05807,0.40000
uniform,440,0,0.05780,-0.05621,0.55646,0.05813,0.40000
uniform,450,0,0.05722,-0.05621,0.63282,0.05812,0.60000
uniform,460,0,0.05676,-0.05621,0.62720,0.05827,0.60000
uniform,470,0,0.05637,-0.05621,0.62063,0.05835,0.60000
uniform,480,0,0.05569,-0.05584,0.61567,0.05832,0.60000
uniform,490,0,0.05504,-0.05584,0.70051,0.05837,0.80000
uniform,500,0,0.05501,-0.05584,0.70051,0.05850,0.80000
uniform,510,0,0.05460,-0.05584,0.70051,0.05866,0.80000
uniform,520,0,0.05446,-0.05442,0.70051,0.05885,0.80000
uniform,530,0,0.05393,-0.05442,0.70051,0.05909,0.80000
uniform,540,0,0.05344,-0.05442,0.70051,0.05936,0.80000
uniform,550,0,0.05319,-0.05442,0.69169,0.05967,0.80000
uniform,560,0,0.05246,-0.05046,0.67112,0.06000,0.80000
uniform,570,0,0.05135,-0.05046,0.65548,0.06033,0.80000
uniform,580,0,0.05024,-0.05046,0.64435,0.06066,0.80000
uniform,590,0,0.04956,-0.05046,0.63008,0.06097,0.80000
uniform,600,0,0.04852,-0.04940,0.60790,0.06121,0.80000
uniform,610,0,0.04759,-0.04940,0.68080,0.06151,1.00000
uniform,620,0,0.04690,-0.04940,0.67587,0.06184,1.00000
uniform,630,0,0.04640,-0.04940,0.66848,0.06215,1.00000
uniform,640,0,0.04587,-0.04921,0.66151,0.06244,1.00000
uniform,650,0,0.04554,-0.04921,0.64809,0.06270,1.00000
uniform,660,0,0.04490,-0.04921,0.63639,0.06294,1.00000
uniform,670,0,0.04444,-0.04921,0.62541,0.06308,1.00000
uniform,680,0,0.04390,-0.04802,0.61475,0.06307,1.00000
uniform,690,0,0.04362,-0.04802,0.69968,0.06317,1.20000
uniform,700,0,0.04347,-0.04802,0.69968,0.06326,1.20000
uniform,710,0,0.04310,-0.04802,0.69788,0.06338,1.20000
uniform,720,0,0.04281,-0.04653,0.68022,0.06353,1.20000
uniform,730,0,0.04242,-0.04653,0.66330,0.06373,1.20000
uniform,740,0,0.04204,-0.04653,0.65230,0.06396,1.20000
uniform,750,0,0.04158,-0.04653,0.63937,0.06423,1.20000
uniform,760,0,0.04157,-0.04495,0.62736,0.06453,1.20000
uniform,770,0,0.04125,-0.04495,0.61654,0.06484,1.20000
uniform,780,0,0.04129,-0.04495,0.69968,0.06517,1.40000
uniform,790,0,0.04110,-0.04495,0.69044,0.06543,1.40000
uniform,800,0,0.04056,-0.04444,0.67464,0.06564,1.40000
uniform,810,0,0.04026,-0.04444,0.65969,0.06587,1.40000
uniform,820,0,0.04001,-0.04444,0.64803,0.06608,1.40000
uniform,830,0,0.03976,-0.04444,0.63283,0.06632,1.40000
uniform,840,0,0.03945,-0.04378,0.62241,0.06660,1.40000
uniform,850,0,0.03939,-0.04378,0.61120,0.06688,1.40000
uniform,860,0,0.03919,-0.04378,0.69884,0.06722,1.60000
uniform,870,0,0.03889,-0.04378,0.69884,0.06746,1.60000
uniform,880,0,0.03860,-0.04365,0.69362,0.06755,1.60000
uniform,890,0,0.03904,-0.04365,0.67236,0.06768,1.60000
uniform,900,0,0.03873,-0.04365,0.65649,0.06774,1.60000
uniform,910,0,0.03866,-0.04365,0.64373,0.06783,1.60000
uniform,920,0,0.03855,-0.04323,0.63034,0.06797,1.60000
uniform,930,0,0.03800,-0.04323,0.61737,0.06815,1.60000
uniform,940,0,0.03743,-0.04323,0.69884,0.06836,1.80000
uniform,950,0,0.03730,-0.04323,0.69884,0.06856,1.80000
uniform,960,0,0.03760,-0.04295,0.68942,0.06864,1.80000
uniform,970,0,0.03721,-0.04295,0.68046,0.06854,1.80000
uniform,980,0,0.03717,-0.04295,0.67125,0.06853,1.80000
uniform,990,0,0.03711,-0.04295,0.66182,0.06869,1.80000
uniform,1000,0,0.03733,-0.04361,0.65642,0.06884,1.80000
uniform,1010,0,0.03699,-0.04361,0.64640,0.06897,1.80000
uniform,1020,0,0.03651,-0.04361,0.63415,0.06911,1.80000
uniform,1030,0,0.03637,-0.04361,0.62355,0.06926,1.80000
uniform,1040,0,0.03615,-0.04235,0.61100,0.06939,1.80000
uniform,1050,0,0.03627,-0.04235,0.67977,0.06944,2.00000
uniform,1060,0,0.03597,-0.04235,0.66423,0.06951,2.00000
uniform,1070,0,0.03566,-0.04235,0.65108,0.06948,2.00000
uniform,1080,0,0.03549,-0.04141,0.64101,0.06933,2.00000
uniform,1090,0,0.03556,-0.04141,0.62904,0.06924,2.00000
uniform,1100,0,0.03550,-0.04141,0.61703,0.06910,2.00000
uniform,1110,0,0.03544,-0.04141,0.69801,0.06901,2.20000
uniform,1120,0,0.03563,-0.04110,0.69801,0.06899,2.20000
uniform,1130,0,0.03570,-0.04110,0.69801,0.06902,2.20000
uniform,1140,0,0.03548,-0.04110,0.69801,0.06910,2.20000
uniform,1150,0,0.03513,-0.04110,0.69282,0.06915,2.20000
uniform,1160,0,0.03485,-0.04199,0.67478,0.06926,2.20000
uniform,1170,0,0.03452,-0.04199,0.66444,0.06939,2.20000
uniform,1180,0,0.03446,-0.04199,0.65782,0.06949,2.20000
uniform,1190,0,0.03416,-0.04199,0.65290,0.06959,2.20000
uniform,1200,0,0.03400,-0.04091,0.64551,0.06969,2.20000
uniform,1210,0,0.03403,-0.04091,0.63160,0.06980,2.20000
uniform,1220,0,0.03395,-0.04091,0.61222,0.06982,2.20000
uniform,1230,0,0.03373,-0.04091,0.59667,0.06956,2.20000
uniform,1240,0,0.03337,-0.04076,0.58223,0.06918,2.20000
uniform,1250,0,0.03332,-0.04076,0.64923,0.06903,2.40000
uniform,1260,0,0.03327,-0.04076,0.63839,0.06907,2.40000
uniform,1270,0,0.03314,-0.04076,0.62783,0.06901,2.40000
uniform,1280,0,0.03350,-0.04038,0.61695,0.06883,2.40000
uniform,1290,0,0.03336,-0.04038,0.69717,0.06871,2.60000
uniform,1300,0,0.03332,-0.04038,0.69717,0.06855,2.60000
uniform,1310,0,0.03331,-0.04038,0.69717,0.06843,2.60000
uniform,1320,0,0.03314,-0.04089,0.69717,0.06838,2.60000
uniform,1330,0,0.03335,-0.04089,0.69717,0.06840,2.60000
uniform,1340,0,0.03323,-0.04089,0.69717,0.06846,2.60000
uniform,1350,0,0.03339,-0.04089,0.69717,0.06853,2.60000
uniform,1360,0,0.03351,-0.04216,0.68830,0.06856,2.60000
uniform,1370,0,0.03349,-0.04216,0.67850,0.06865,2.60000
uniform,1380,0,0.03338,-0.04216,0.67082,0.06844,2.60000
uniform,1390,0,0.03384,-0.04216,0.66115,0.06818,2.60000
uniform,1400,0,0.03371,-0.04103,0.63586,0.06801,2.60000
uniform,1410,0,0.03381,-0.04103,0.62018,0.06786,2.60000
uniform,1420,0,0.03376,-0.04103,0.60384,0.06772,2.60000
uniform,1430,0,0.03342,-0.04103,0.58963,0.06759,2.60000
uniform,1440,0,0.03332,-0.03928,0.57336,0.06744,2.60000
uniform,1450,0,0.03301,-0.03928,0.55685,0.06731,2.60000
