tick,maxcos_all,maxcos_old,maxcos_old_rot,n_old
1389,1.00000,0.99603,0.17777,397
1390,1.00000,0.99532,0.10985,397
1391,1.00000,0.99766,0.10565,397
1392,1.00000,0.99599,0.11360,397
1393,1.00000,0.99475,0.06131,397
1394,1.00000,0.99396,0.03480,397
1395,1.00000,0.99733,0.08031,397
1396,1.00000,0.99841,0.10373,397
1397,1.00000,0.99784,0.10659,397
1398,1.00000,0.99813,0.10597,397
1399,1.00000,0.99850,0.11127,397
1400,1.00000,0.99811,0.10315,397
1401,1.00000,0.99734,0.09115,397
1402,1.00000,0.99704,0.11721,397
1403,1.00000,0.99722,0.12942,397
1404,1.00000,0.99617,0.09088,397
1405,1.00000,0.99659,0.09818,397
1406,1.00000,0.99756,0.10109,397
1407,1.00000,0.99651,0.11976,397
1408,1.00000,0.99694,0.13537,397
1409,1.00000,0.99686,0.12611,397
1410,1.00000,0.99778,0.11873,397
1411,1.00000,0.99782,0.12434,397
1412,1.00000,0.99671,0.14072,397
1413,1.00000,0.99692,0.13503,353
1514,1.00000,0.99966,0.10859,414
1515,1.00000,0.99918,0.10430,415
1516,1.00000,0.99769,0.08906,416
1517,1.00000,0.99687,0.09610,417
1518,1.00000,0.99728,0.10808,418
1519,1.00000,0.99727,0.11254,419
1520,1.00000,0.99705,0.10284,420
1521,1.00000,0.99814,0.08290,421
1522,1.00000,0.99769,0.09321,422
1523,1.00000,0.99792,0.12433,422
1524,1.00000,0.99814,0.11976,423
1525,1.00000,0.99775,0.09734,424
1526,1.00000,0.99751,0.09805,425
1527,1.00000,0.99826,0.11574,426
1528,1.00000,0.99810,0.11062,427
1529,1.00000,0.99861,0.11323,428
1530,1.00000,0.99853,0.11515,428
1531,1.00000,0.99630,0.09051,428
1532,1.00000,0.99697,0.12672,428
1533,1.00000,0.99559,0.12872,428
1534,1.00000,0.99708,0.09441,428
1535,1.00000,0.99683,0.10620,428
1536,1.00000,0.99766,0.10561,428
1537,1.00000,0.99805,0.09003,428
1538,1.00000,0.99805,0.08717,428
1539,1.00000,0.99860,0.11132,428
1540,1.00000,0.99831,0.11166,428
1541,1.00000,0.99889,0.08179,428
1542,1.00000,0.99862,0.09456,428
1543,1.00000,0.99789,0.10960,428
1544,1.00000,0.99748,0.09596,428
1545,1.00000,0.99690,0.11234,428
1546,1.00000,0.99684,0.13102,428
1547,1.00000,0.99682,0.14373,428
1548,1.00000,0.99714,0.11516,428
1549,1.00000,0.99770,0.09849,428
1550,1.00000,0.99815,0.12341,428
1551,1.00000,0.99772,0.09790,428
1552,1.00000,0.99739,0.07616,428
1553,1.00000,0.99802,0.07913,428
1554,1.00000,0.99797,0.10874,428
1555,1.00000,0.99837,0.14023,428
1556,1.00000,0.99713,0.11906,428
1557,1.00000,0.99529,0.11217,428
1558,1.00000,0.99496,0.12241,428
1559,1.00000,0.99603,0.11413,428
1560,1.00000,0.99306,0.06715,428
1561,1.00000,0.99198,0.08705,428
1562,1.00000,0.99450,0.08193,428
1563,1.00000,0.99484,0.07426,428
1564,1.00000,0.99744,0.12543,428
1565,1.00000,0.99772,0.13862,428
1566,1.00000,0.99793,0.10879,428
1567,1.00000,0.99782,0.10073,428
1568,1.00000,0.99860,0.13085,428
1569,1.00000,0.99910,0.11986,428
1570,1.00000,0.99828,0.09267,428
1571,1.00000,0.99725,0.11553,428
1572,1.00000,0.99764,0.12092,428
1573,1.00000,0.99812,0.08679,428
1574,1.00000,0.99816,0.10120,428
1575,1.00000,0.99838,0.12559,428
1576,1.00000,0.99836,0.12776,428
1577,1.00000,0.99858,0.12923,428
1578,1.00000,0.99789,0.13510,428
1579,1.00000,0.99847,0.12314,428
1580,1.00000,0.99727,0.09810,428
1581,1.00000,0.99727,0.09178,428
1582,1.00000,0.99636,0.08811,428
1583,1.00000,0.99666,0.11880,428
1584,1.00000,0.99503,0.12123,428
1585,1.00000,0.99616,0.13835,428
1586,1.00000,0.99543,0.13333,428
1587,1.00000,0.99482,0.12761,428
1588,1.00000,0.99540,0.17026,428
1589,1.00000,0.99296,0.12513,428
1590,1.00000,0.99514,0.11523,428
1591,1.00000,0.99044,0.15495,428
1592,1.00000,0.99172,0.15162,428
1593,1.00000,0.99160,0.11614,428
1594,1.00000,0.99449,0.07130,428
1595,1.00000,0.99562,0.08813,428
1596,1.00000,0.99706,0.08323,428
1597,1.00000,0.99711,0.09401,428
1598,1.00000,0.99488,0.10288,382
1699,1.00000,0.99891,0.10684,444
1700,1.00000,0.99765,0.09377,445
1701,1.00000,0.99795,0.07618,446
1702,1.00000,0.99627,0.06261,447
1703,1.00000,0.99619,0.09866,448
1704,1.00000,0.99752,0.09850,449
1705,1.00000,0.99808,0.06755,450
1706,1.00000,0.99782,0.09394,451
1707,1.00000,0.99876,0.13383,452
1708,1.00000,0.99714,0.10337,453
1709,1.00000,0.99665,0.09708,454
1710,1.00000,0.99595,0.13491,454
1711,1.00000,0.99714,0.14917,455
1712,1.00000,0.99759,0.11032,456
1713,1.00000,0.99817,0.07775,457
1714,1.00000,0.99740,0.06720,457
1715,1.00000,0.99878,0.09463,457
1716,1.00000,0.99872,0.10231,457
1717,1.00000,0.99929,0.10154,457
1718,1.00000,0.99821,0.11815,457
1719,1.00000,0.99867,0.13543,457
1720,1.00000,0.99816,0.13139,457
1721,1.00000,0.99824,0.12384,457
1722,1.00000,0.99849,0.11824,457
1723,1.00000,0.99800,0.10139,457
1724,1.00000,0.99849,0.09642,457
1725,1.00000,0.99857,0.10709,457
1726,1.00000,0.99871,0.10921,457
1727,1.00000,0.99801,0.10575,457
1728,1.00000,0.99800,0.12019,457
1729,1.00000,0.99827,0.11545,457
1730,1.00000,0.99889,0.09362,457
1731,1.00000,0.99836,0.09632,457
1732,1.00000,0.99847,0.11282,457
1733,1.00000,0.99728,0.10054,457
1734,1.00000,0.99772,0.10253,457
1735,1.00000,0.99737,0.10631,457
1736,1.00000,0.99755,0.08684,457
1737,1.00000,0.99759,0.12096,457
1738,1.00000,0.99843,0.13035,457
1739,1.00000,0.99830,0.10012,457
1740,1.00000,0.99750,0.12774,457
1741,1.00000,0.99638,0.09842,457
1742,1.00000,0.99706,0.04435,457
1743,1.00000,0.99720,0.09476,457
1744,1.00000,0.99551,0.11100,457
1745,1.00000,0.99755,0.05928,457
1746,1.00000,0.99665,0.07464,457
1747,1.00000,0.99839,0.12907,457
1748,1.00000,0.99714,0.10663,457
1749,1.00000,0.99771,0.07171,457
1750,1.00000,0.99705,0.09384,457
1751,1.00000,0.99808,0.10988,457
1752,1.00000,0.99758,0.09934,457
1753,1.00000,0.99826,0.11712,457
1754,1.00000,0.99765,0.12232,457
1755,1.00000,0.99890,0.10687,457
1756,1.00000,0.99754,0.09712,457
1757,1.00000,0.99721,0.10283,457
1758,1.00000,0.99671,0.11832,457
1759,1.00000,0.99542,0.12718,457
1760,1.00000,0.99626,0.11803,457
1761,1.00000,0.99750,0.12744,457
1762,1.00000,0.99742,0.12461,457
1763,1.00000,0.99552,0.13376,457
1764,1.00000,0.99724,0.12126,457
1765,1.00000,0.99776,0.07466,457
1766,1.00000,0.99679,0.09114,457
1767,1.00000,0.99678,0.14597,457
1768,1.00000,0.99687,0.15118,457
1769,1.00000,0.99741,0.11802,457
1770,1.00000,0.99771,0.11929,457
1771,1.00000,0.99834,0.11859,457
1772,1.00000,0.99776,0.10858,457
1773,1.00000,0.99850,0.10421,457
1774,1.00000,0.99866,0.09500,457
1775,1.00000,0.99807,0.10216,457
1776,1.00000,0.99862,0.09743,457
1777,1.00000,0.99857,0.10638,457
1778,1.00000,0.99620,0.09296,457
1779,1.00000,0.99544,0.06037,457
1780,1.00000,0.99558,0.05520,457
1781,1.00000,0.99590,0.06315,457
1782,1.00000,0.99329,0.06006,457
1783,1.00000,0.99516,0.05828,457
1784,1.00000,0.99492,0.06187,457
1785,1.00000,0.99478,0.07102,457
1786,1.00000,0.99547,0.10308,457
1787,1.00000,0.99773,0.10836,457
1788,1.00000,0.99870,0.10010,457
1789,1.00000,0.99844,0.10335,457
1790,1.00000,0.99624,0.09612,457
1791,1.00000,0.99824,0.06397,457
1792,1.00000,0.99738,0.06246,457
1793,1.00000,0.99768,0.09802,457
1794,1.00000,0.99537,0.09015,457
1795,1.00000,0.99516,0.02674,457
1796,1.00000,0.99519,0.02910,457
1797,1.00000,0.99632,0.11797,457
1798,1.00000,0.99479,0.12313,457
1799,1.00000,0.99428,0.08530,457
1800,1.00000,0.99623,0.13939,457
1801,1.00000,0.99500,0.17095,457
1802,1.00000,0.99698,0.13549,457
1803,1.00000,0.99679,0.09839,457
1804,1.00000,0.99343,0.08724,457
1805,1.00000,0.99312,0.13765,457
1806,1.00000,0.99367,0.11746,457
1807,1.00000,0.99333,0.05210,457
1808,1.00000,0.99769,0.09744,457
1809,1.00000,0.99655,0.11147,457
1810,1.00000,0.99522,0.08610,457
1811,1.00000,0.99733,0.07203,457
1812,1.00000,0.99817,0.10122,457
1813,1.00000,0.99871,0.09780,457
1814,1.00000,0.99832,0.08179,458
1815,1.00000,0.99705,0.11211,459
1816,1.00000,0.99725,0.10892,460
1817,1.00000,0.99767,0.07266,461
1818,1.00000,0.99813,0.09709,462
1819,1.00000,0.99896,0.09781,463
1820,1.00000,0.99848,0.07994,464
1821,1.00000,0.99890,0.11108,465
1822,1.00000,0.99831,0.12553,466
1823,1.00000,0.99853,0.11108,467
1824,1.00000,0.99796,0.09779,468
1825,1.00000,0.99816,0.10739,469
1826,1.00000,0.99785,0.10267,469
1827,1.00000,0.99778,0.10865,470
1828,1.00000,0.99649,0.12732,470
1829,1.00000,0.99577,0.12425,471
1830,1.00000,0.99401,0.09322,472
1831,1.00000,0.99510,0.13967,473
1832,1.00000,0.99587,0.15483,474
1833,1.00000,0.99645,0.08852,475
1834,1.00000,0.99732,0.08961,475
1835,1.00000,0.99775,0.12062,476
1836,1.00000,0.99782,0.09418,477
