A,B,R,fate_recovered,t_rec,t_abs,min_ab
0.0000,0.1200,2.9762,0,inf,0.02,0.00000
0.0000,0.1200,3.1250,0,inf,0.02,0.00000
0.0000,0.1200,3.2738,0,inf,0.02,0.00000
0.0000,0.1200,3.4226,0,inf,0.02,0.00000
0.0000,0.1200,3.5714,0,inf,0.02,0.00000
0.0000,0.1200,3.7202,0,inf,0.02,0.00000
0.0000,0.1200,3.8690,0,inf,0.02,0.00000
0.0000,0.1200,4.0179,0,inf,0.02,0.00000
0.0000,0.1200,4.1667,0,inf,0.02,0.00000
0.0000,0.1200,4.3155,0,inf,0.02,0.00000
0.0000,0.1200,4.4643,0,inf,0.02,0.00000
0.0000,0.1200,4.6131,0,inf,0.02,0.00000
0.0000,0.1200,4.7619,0,inf,0.02,0.00000
0.0000,0.1200,4.9107,0,inf,0.02,0.00000
0.0000,0.1200,5.0595,0,inf,0.02,0.00000
0.0000,0.1200,5.2083,0,inf,0.02,0.00000
0.0000,0.1200,5.3571,0,inf,0.02,0.00000
0.0000,0.1200,5.5060,0,inf,0.02,0.00000
0.0000,0.1200,5.6548,0,inf,0.02,0.00000
0.0000,0.1200,5.8036,0,inf,0.02,0.00000
0.0000,0.1200,5.9524,0,inf,0.02,0.00000
0.0000,0.1200,6.1012,0,inf,0.02,0.00000
0.0000,0.1200,6.2500,0,inf,0.02,0.00000
0.0000,0.1200,6.3988,0,inf,0.02,0.00000
0.0000,0.1200,6.5476,0,inf,0.02,0.00000
0.0000,0.1200,6.6964,0,inf,0.02,0.00000
0.0000,0.1200,6.8452,0,inf,0.02,0.00000
0.0000,0.1200,6.9940,0,inf,0.02,0.00000
0.0000,0.1200,7.1429,0,inf,0.02,0.00000
0.0000,0.1200,7.2917,0,inf,0.02,0.00000
0.0000,0.1400,0.0000,0,inf,0.02,0.00000
0.0000,0.1400,0.1488,0,inf,0.02,0.00000
0.0000,0.1400,0.2976,0,inf,0.02,0.00000
0.0000,0.1400,0.4464,0,inf,0.02,0.00000
0.0000,0.1400,0.5952,0,inf,0.02,0.00000
0.0000,0.1400,0.7440,0,inf,0.02,0.00000
0.0000,0.1400,0.8929,0,inf,0.02,0.00000
0.0000,0.1400,1.0417,0,inf,0.02,0.00000
0.0000,0.1400,1.1905,0,inf,0.02,0.00000
0.0000,0.1400,1.3393,0,inf,0.02,0.00000
0.0000,0.1400,1.4881,0,inf,0.02,0.00000
0.0000,0.1400,1.6369,0,inf,0.02,0.00000
0.0000,0.1400,1.7857,0,inf,0.02,0.00000
0.0000,0.1400,1.9345,0,inf,0.02,0.00000
0.0000,0.1400,2.0833,0,inf,0.02,0.00000
0.0000,0.1400,2.2321,0,inf,0.02,0.00000
0.0000,0.1400,2.3810,0,inf,0.02,0.00000
0.0000,0.1400,2.5298,0,inf,0.02,0.00000
0.0000,0.1400,2.6786,0,inf,0.02,0.00000
0.0000,0.1400,2.8274,0,inf,0.02,0.00000
0.0000,0.1400,2.9762,0,inf,0.02,0.00000
0.0000,0.1400,3.1250,0,inf,0.02,0.00000
0.0000,0.1400,3.2738,0,inf,0.02,0.00000
0.0000,0.1400,3.4226,0,inf,0.02,0.00000
0.0000,0.1400,3.5714,0,inf,0.02,0.00000
0.0000,0.1400,3.7202,0,inf,0.02,0.00000
0.0000,0.1400,3.8690,0,inf,0.02,0.00000
0.0000,0.1400,4.0179,0,inf,0.02,0.00000
0.0000,0.1400,4.1667,0,inf,0.02,0.00000
0.0000,0.1400,4.3155,0,inf,0.02,0.00000
0.0000,0.1400,4.4643,0,inf,0.02,0.00000
0.0000,0.1400,4.6131,0,inf,0.02,0.00000
0.0000,0.1400,4.7619,0,inf,0.02,0.00000
0.0000,0.1400,4.9107,0,inf,0.02,0.00000
0.0000,0.1400,5.0595,0,inf,0.02,0.00000
0.0000,0.1400,5.2083,0,inf,0.02,0.00000
0.0000,0.1400,5.3571,0,inf,0.02,0.00000
0.0000,0.1400,5.5060,0,inf,0.02,0.00000
0.0000,0.1400,5.6548,0,inf,0.02,0.00000
0.0000,0.1400,5.8036,0,inf,0.02,0.00000
0.0000,0.1400,5.9524,0,inf,0.02,0.00000
0.0000,0.1400,6.1012,0,inf,0.02,0.00000
0.0000,0.1400,6.2500,0,inf,0.02,0.00000
0.0000,0.1400,6.3988,0,inf,0.02,0.00000
0.0000,0.1400,6.5476,0,inf,0.02,0.00000
0.0000,0.1400,6.6964,0,inf,0.02,0.00000
0.0000,0.1400,6.8452,0,inf,0.02,0.00000
0.0000,0.1400,6.9940,0,inf,0.02,0.00000
